,title,text,Vader_Score,TextBlob_Score,Stanford_Score
0,Sony PS4 Universal Remote Hits the Store Late October,"Sony PS4 Universal Remote Hits the Store Late October 9th, Oct 2015 7:00 PM View: 14 0 
For the one who loves to be the part of the gaming zone, for the gamers and the game lovers, its the right time to get the item at place. Sony America has just announced that the wait for its PS4 universal remote is ended. The much expected accessory is ready to go on sale for $30 later this month (October) .The remote uses Bluetooth to control your PS4 system and can also be setup to control up upto three additional services including TV, cable box and audio receiver. This remote will help you to replace the DualShock controller for non gaming application. The PS4 is the latest one with the additional functionality being provided. The remote gives support to the play station via the connectivity source and provides ease of access to users.The accessory have the dedicated PS4 buttons which include the buttons for navigating system menus and apps including the action buttons (triangle, circle, cross and square), Share, Options and PS buttons. For the exceptional case, the remote is a high technique device to control the play station for the support for gamers and gaming zone. At the launching event, the Universal Media Remote will be fully compatible with the apps including Blu-ray Disc Player, Crunchyroll, FUNimation, HBO GO, Media Player, NBA Game Time, Netfix, NFL Sunday Ticket, PlayStation Video, Twitch and Youtube.The PS4 Universal Remote will hit the stores for pre-orders on Amazon, Best Buy, Gamestop and Toys R in US. The most awaited gadget is now ready for its place in Late October.",0.9874,0.04687074829931973,0.1
1,"With state budget stalled, Choose Chicago cuts staff - Chicago Tribune","With $7.2 million of its funding frozen by the state's ongoing budget stalemate, Choose Chicago, the city's official tourism arm, is laying off one-fourth of its workforce and closing two international offices.
The cutbacks, announced Friday, saw Choose Chicago eliminate 28 positions, including 15 full-time employees. If state funding isn't restored, there is likely more downsizing ahead, said President Don Welsh. Choose Chicago expects to save $2.5 million.
While tourism has been on the upswing, Chicago's Olympic bid chased away convention bookings for 2016 just as an abundance of new hotel rooms have come online, according Welsh.
""You've got this perfect storm that's brewing out there,"" Welsh said. ""Under no circumstances should we be slowing down our sales and marketing activities this year and leading into 2016.""
Chicago surpassed 50 million visitors for the first time last year, and Choose Chicago's data project the city to top 51 million in 2015. That may be tough to match in 2016, with 200,000 fewer convention room nights on the books, Welsh said. Meanwhile, there are more than 2,000 additional rooms to fill, with the opening of 10 new hotels in 2015.
The state provides about 40 percent of Choose Chicago's $30 million annual budget. The Metropolitan Pier and Exposition Authority contributes 30 percent, with the city and private donations making up the balance.
In June, Choose Chicago pulled the plug on the last two months of its ""Chicago Epic"" tourism advertising campaign after Gov. Bruce Rauner vetoed the bulk of the state's budget.
Choose Chicago representatives say the agency bought time by carving nearly $6 million out of its budget. Welsh called laying off employees a last resort.
While Chicago joined New York and Orlando as the only U.S. cities to top the 50 million-visitor mark, it is No. 10 nationally among international tourists with 1.3 million visitors last year.
Choose Chicago is closing its sales operations in Canada and Mexico. It continues operations at its four offices in China.
Choose Chicago was formed in 2012 through a merger of the city's convention bureau and tourism office. The organization has played a role in bringing some events to Chicago, including the NFL Draft, which is returning in 2016.
Welsh said Choose Chicago hopes to restore its budget next year, including state funding of $13 million, based on projected hotel tax revenue. It has a contingency budget of $18 million if state funding doesn't materialize, likely necessitating additional reductions.
""We would probably go back to what we were five, 10 years ago, and we would be very myopically focused on being a convention bureau,"" Welsh said. ""And we would have to right-size the organization for that as well.""
rchannick@tribpub.com
Twitter @RobertChannick
 Job Layoffs Unemployment and Layoffs Jobs and Workplace Travel Don Welsh Business",0.8983,0.1351787101787102,-0.32
2,Trevor Ashley drags Liza Minnelli back to Broadway,"Click to play video Return to video Video settings Please Log in to update your video settings
Video will begin in 5 seconds.
Don't play Play now More video Recommended Replay video Return to video Video settings Please Log in to update your video settings
Timelapse: becoming Liza Minnelli Watch Trevor Ashley as he transforms into the lead character for upcoming show 'Liza's back! (is broken)'.
PT0M32S http://www.canberratimes.com.au/action/externalEmbeddedPlayer?id=d-44ow9 620 349 October 17, 2015 Autoplay On Off Video feedback Video settings After more than 500 performances playing it straight, cabaret star Trevor Ashley is going back to what he does best – Liza Minnelli.
Ashley, currently appearing as the grotesque buffoon Monsieur Thenardier​ in the Australian production of Les Miserables , is working on his first solo show in almost three years and is training his kohl-rimmed sights on the Broadway star for the Melbourne-only run of  Liza's Back! (is broken) . 
It's a welcome return to form for Ashley who has carved out a long career as a drag and musical theatre performer, one who spent his youth in singing and acting training but got his professional start as a 20-year-old among the drag queen veterans at Sydney's Albury Hotel.
Star of Liza's Back! (Is Broken) Trevor Ashley transforms into Liza Minnelli. Photo: Joe Armao 
""I like creating a piece, I like being with it from the ground up and being able to get the whole picture in my head of what I like and what I want to see,"" he says on a brief day trip to Melbourne, hours before he's due on stage again in Sydney in French revolutionary garb. ""I love performing in musicals but I find something like this a lot more challenging and rewarding as a performer.""
Advertisement As Minnelli in  Liza's Back! (is broken) , Ashley imagines all the roles the starlet should have or could have sung, from the The Sound of Music to Wicked , and builds on his wild  Liza (On an E) show of a few years ago. Drag has been good to Ashley and led to breakout roles in stage productions of  Priscilla: Queen of the Desert and Hairspray  but it's arguably been his blackly comic turn in Les Mis that's won him the most critical acclaim (and a 2015 Helpmann nomination) as well as what's turned out to be a rare opportunity in his career: playing a man.
""There's very few people who have thought of me as an actor, as a male. And it's kind of funny because I go, well what do you think I'm doing when I'm being these people? It's just acting, it's just playing a character,"" he says.
The process of putting on Liza's ""face"" takes Ashley about 40 minutes. Photo: Joe Armao 
Yet it was Ashley in drag, or at least playing one of his female characters in the Annie -inspired cabaret Little Orphan trAshley , that originally caught the eye of Les Mis producer Sir Cameron Mackintosh, he says. Les Miserables tackles Brisbane next and it will be January before audiences will see him rasping through Minnelli's songbook again. Ashley hopes his time as Thenardier proves to audiences that he has an acting range that goes beyond fabulous wigs and make-up. But hang up his heels? Not likely.
""I'll never do that because that's ridiculous. But you do sometimes think well, maybe that's what I should do if I want to change people's idea of me. But, you know, I've just played a disgusting man for two years so hopefully people have seen that and seen that it's different.""
Liza's Back! (is broken) is at the Fairfax Studio, Arts Centre Melbourne from January 21-31. 
Star of Liza's Back! (Is Broken) Trevor Ashley transforms into Liza Minnelli. Photo: Joe Armao 
artscentremelbourne.com.au/",0.9967,0.07226010101010101,-0.03225806451612903
3,Keegan-Michael Key set to lead Penn State homecoming parade,"Find an Event Keegan-Michael Key set to lead Penn State homecoming parade President Barack Obama speaks next to comedian Keegan-Michael Key at the White House Correspondents Association Dinner in Washington on April 25, 2015. YURI GRIPAS/AFP/Getty Images Travel Deals The Associated Press Posted: Thursday, October 8, 2015, 4:53 PM 
STATE COLLEGE, Pa. (AP) - Penn State University is bringing alumnus Keegan-Michael Key to serve as the school's homecoming grand marshal this week. 
The Centre Daily Times reports (http://bit.ly/1jeDIc5 ) the 44-year-old actor says he hopes to give back to the university where he received his master of fine arts degree in 1996. 
Key says he was surprised when he was asked to be the grand marshal, citing other alumni he says were more deserving. 
Key lives in Los Angeles and is known for being a part of the Comedy Central TV show ""Key & Peele."" 
He will lead the homecoming parade Friday and then attend the football game against Indiana on Saturday. 
He says he wants to meet with students during his trip and urges them to choose majors they're passionate about. 
___",0.9584,0.07572463768115942,0.125
4,Oscar Pistorius to be released from jail on Oct. 20,"JOHANNESBURG (AP) - Oscar Pistorius, the Olympic runner who shot his girlfriend to death on Valentine's Day 2013, can leave prison and move to house arrest next week, South Africa's Department of Corrections said Thursday.
A parole board at the prison where Pistorius has served nearly a year of his five-year sentence for manslaughter made the decision. It came after an initial ruling to release the double-amputee athlete in August was canceled.
The board ""approved the placement of offender Oscar Pistorius under correctional supervision as from 20 October 2015,"" the corrections department said in Thursday's statement.
Pistorius was acquitted of murder last year for the shooting death of Reeva Steenkamp, but prosecutors have appealed that decision and will seek a murder conviction again at South Africa's Supreme Court on Nov. 3.
If Pistorius is convicted of murder by a panel of judges at that appeal, he faces a minimum sentence of 15 years in prison.
The corrections department said the parole board made the decision after receiving a submission from Steenkamp's family.
Pistorius was sentenced to five years after being convicted of culpable homicide, a charge comparable to manslaughter, for shooting Steenkamp, a model and reality TV star. Under South African law, an offender sentenced to five years or less in jail can be released after serving one-sixth - in Pistorius' case 10 months.
He has maintained he thought she was an intruder in his home. Prosecutors said he shot her as she was in a bathroom stall in his Pretoria house during an argument.
He will be moved to correctional supervision, a form of house arrest where he will have to live under certain conditions. Full details of the conditions were not detailed by the corrections department, although it did say that Pistorius would have to continue receiving psychotherapy while under house arrest and would not be allowed to possess a firearm.
In June, the parole board cleared Pistorius to be released from Kgosi Mampuru II Prison in Pretoria on Aug. 21 only for that decision to be suspended by the minister of justice, who ordered a review.
A parole review board then sent Pistorius' case back to the same prison officials to consider again.
The 28-year-old Pistorius will now be able to leave prison on Tuesday. He is expected to serve his house arrest at his uncle's home in an upmarket suburb of Pretoria.",-0.9947,0.026699134199134195,-0.35294117647058826
5,Yes! Switched at Birth Has Been Renewed for Another Season,"Yes! Switched at Birth Has Been Renewed for Another Season If you were nervous about the fate of Switched at Birth before its upcoming season finale, rest easy. ABC Family, which will ... Comment Posted Oct. 21, 2015 at 8:13 PM Updated at 11:43 PM Posted Oct. 21, 2015 at 8:13 PM Updated at 11:43 PM If you were nervous about the fate of Switched at Birth before its upcoming season finale, rest easy. ABC Family, which will change its name to Freeform in January, announced Wednesday that the drama will return for a fifth season. ""Every season Switched at Birth continues to deliver fresh, relatable storylines that tackle important social issues, reflecting what our audience experiences daily,"" said Karey Burke, executive vice president of programming and development for ABC Family, in a statement. Are you happy to have more of Switched at Birth ? What do you want to see next season? The Season 4 finale of Switched at Birth airs Monday at 8/7c on ABC Family. Video: 6 things you never knew about Vanessa Marano Other Links From TVGuide.com",0.9319,0.2775,0.0
6,Feds: Californians in flood areas should buy insurance now,"WASHINGTON -- With a strong El Nino in place, the Federal Emergency Management Agency is urging Californians in flood prone places to buy insurance before it's too late.
FEMA deputy associate administrator Roy Wright said Friday buying flood insurance is the most powerful action residents can take with the El Nino, which brings heavy winter rains to California.
Between 50 to 70 percent of Californians who live in high risk flood areas don't have federal flood insurance. People can check at www.floodsmart.gov . Wright said flood insurance has to be purchased 30 days before a flood hits.
Wright said if you buy flood insurance for just one year this is the year because more than one-third of California flood insurance claims in the past 27 years came in just four El Nino years.
 Nation/World Science Lifestyle Associated Press",0.4005,0.137969696969697,0.14285714285714285
7,Flavor Flav gets February trial date in traffic case,"Flavor Flav gets February trial date in traffic case 3:37 a.m. Friday, Oct. 16, 2015 | Filed in: Celebrity news Comments 0 ﻿ 
The trial for entertainer Flavor Flav has been postponed until Feb. 8 for misdemeanor driving under the influence, speeding and cocaine charges stemming from a vehicle stop last May in Las Vegas. 
Prosecutors and defense attorney Dayvid Figler said the new date allows time to try to resolve the case against the 56-year-old rapper and reality television star, whose real name is William Drayton Jr. 
The Nevada Highway Patrol says the Rock and Roll Hall of Fame inductee was clocked going 87 mph in a 65-mph zone. 
Drayton settled criminal charges this week in New York's Nassau County stemming from a traffic stop while racing to his mother's funeral on Long Island. 
He pleaded guilty Tuesday to an unlicensed driver charge, fined about $3,600 and sentenced to time already served.",-0.8225,-0.06818181818181819,-0.6
8,"Miley Cyrus, Flaming Lips plan nude concert","New York (AFP) - Miley Cyrus, no stranger to shock value, is planning an even more sensational event -- a concert where she, her band and the audience are all naked.
News of the concert-in-the-buff came from The Flaming Lips, the psychedelic alternative rock band that in recent months has begun a partnership with the Disney star turned twerker.
Cyrus ""is planning a show where her, the band (us) and the audience are all COMPLETELY naked with milk (well white stuff that looks like milk) ...being spewed everywhere,"" Flaming Lips frontman Wayne Coyne wrote on Instagram on Tuesday.
He did not reveal further details -- or ticket information -- but said the naked show would be filmed for a music video.
Laws on public nudity vary widely around the world, but Cyrus and The Flaming Lips presumably would work with a private venue.
The 22-year-old Cyrus, who describes herself as pansexual and has not been shy about sexually explicit performances, in August released a surprise album, ""Miley Cyrus & Her Dead Petz,"" in a collaboration with The Flaming Lips.
While the 54-year-old Coyne and his bandmates are less known for sex appeal, The Flaming Lips have been known since the 1990s for energetic and extravagant concerts in which the singer surfs through the crowd from inside a balloon.
Arts & Entertainment Music Miley Cyrus Flaming Lips",0.6608,0.0786096256684492,-0.5
9,Koko the gorilla gets 2 new kittens,"Koko the gorilla gets 2 new kittens Posted: rbennett@raycommedia.com According to the Gorilla Foundation, Koko can use more than 1,000 signs and understands about 2,000 spoken English words. In this June 6, 2014 photo, she's drinking apple juice. (Source: Ron Cohn/The Gorilla Foundation) 
(RNN) - Koko the gorilla, famous for learning American Sign Language and as a symbol for wildlife and gorilla preservation, has adopted two new kittens. 
Koko chose the two kittens from a litter. They are named Ms. Gray and Ms. Black. 
The Gorilla Foundation posted a video of Koko meeting the kittens and interacting with them. 
This isn't the first time Koko has had pets. She made headlines in 1984 when she asked for a pet, and researchers gave in, allowing her to pick a kitten from an abandoned litter. Unfortunately, the kitten, named All Ball, managed to escape and was hit and killed by a car. 
According to researchers, Koko mourned the death of All Ball. Later in 1985, she picked another kitten, Lips, and then one more, Smoky, when researchers feared another gorilla living with her, Michael, would claim Lips. 
Since then, Koko has interacted with many kittens, which often only come to visit. 
Koko is part of a long-term research project studying non-human communication. She was born July 4, 1971 and has lived most of her life with researcher Penny Patterson, who began caring for Koko when she was about 1 year old. 
According to the Gorilla Foundation , Koko has learned to use more than 1,000 signs and understands about 2,000 spoken English words. She can also combine the words she knows to convey new meanings. 
The foundation also said Koko is not the only gorilla who has learned sign language. Two other gorillas, Michael and Ndume, were part of the research project and learned sign language. Michael passed away in 2000. 
Koko's project is now aiming to study the emotional awareness of gorillas. ",-0.93,0.12579201101928372,-0.05
